group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
str_literal_conversion,string_from,short string,,,1016013.0,ns,86009
str_literal_conversion,string_from,short string,,,1921307.0,ns,172018
str_literal_conversion,string_from,short string,,,3248902.0,ns,258027
str_literal_conversion,string_from,short string,,,3796463.0,ns,344036
str_literal_conversion,string_from,short string,,,4274129.0,ns,430045
str_literal_conversion,string_from,short string,,,5105148.0,ns,516054
str_literal_conversion,string_from,short string,,,6533869.0,ns,602063
str_literal_conversion,string_from,short string,,,6831026.0,ns,688072
str_literal_conversion,string_from,short string,,,7898307.0,ns,774081
str_literal_conversion,string_from,short string,,,9015481.0,ns,860090
str_literal_conversion,string_from,short string,,,9660867.0,ns,946099
str_literal_conversion,string_from,short string,,,13181821.0,ns,1032108
str_literal_conversion,string_from,short string,,,16064698.0,ns,1118117
str_literal_conversion,string_from,short string,,,16938544.0,ns,1204126
str_literal_conversion,string_from,short string,,,18051568.0,ns,1290135
str_literal_conversion,string_from,short string,,,18742518.0,ns,1376144
str_literal_conversion,string_from,short string,,,19969110.0,ns,1462153
str_literal_conversion,string_from,short string,,,17478669.0,ns,1548162
str_literal_conversion,string_from,short string,,,16485353.0,ns,1634171
str_literal_conversion,string_from,short string,,,17714028.0,ns,1720180
str_literal_conversion,string_from,short string,,,18612833.0,ns,1806189
str_literal_conversion,string_from,short string,,,19283625.0,ns,1892198
str_literal_conversion,string_from,short string,,,22571145.0,ns,1978207
str_literal_conversion,string_from,short string,,,20602496.0,ns,2064216
str_literal_conversion,string_from,short string,,,21328399.0,ns,2150225
str_literal_conversion,string_from,short string,,,23025935.0,ns,2236234
str_literal_conversion,string_from,short string,,,25697533.0,ns,2322243
str_literal_conversion,string_from,short string,,,25590821.0,ns,2408252
str_literal_conversion,string_from,short string,,,25260951.0,ns,2494261
str_literal_conversion,string_from,short string,,,26087604.0,ns,2580270
str_literal_conversion,string_from,short string,,,27936212.0,ns,2666279
str_literal_conversion,string_from,short string,,,30730015.0,ns,2752288
str_literal_conversion,string_from,short string,,,31108534.0,ns,2838297
str_literal_conversion,string_from,short string,,,29811049.0,ns,2924306
str_literal_conversion,string_from,short string,,,29715815.0,ns,3010315
str_literal_conversion,string_from,short string,,,32052998.0,ns,3096324
str_literal_conversion,string_from,short string,,,33180327.0,ns,3182333
str_literal_conversion,string_from,short string,,,32574774.0,ns,3268342
str_literal_conversion,string_from,short string,,,40408635.0,ns,3354351
str_literal_conversion,string_from,short string,,,35475439.0,ns,3440360
str_literal_conversion,string_from,short string,,,50485589.0,ns,3526369
str_literal_conversion,string_from,short string,,,49868460.0,ns,3612378
str_literal_conversion,string_from,short string,,,38624477.0,ns,3698387
str_literal_conversion,string_from,short string,,,39408373.0,ns,3784396
str_literal_conversion,string_from,short string,,,39700973.0,ns,3870405
str_literal_conversion,string_from,short string,,,41372147.0,ns,3956414
str_literal_conversion,string_from,short string,,,41248287.0,ns,4042423
str_literal_conversion,string_from,short string,,,40980114.0,ns,4128432
str_literal_conversion,string_from,short string,,,43050898.0,ns,4214441
str_literal_conversion,string_from,short string,,,45416390.0,ns,4300450
str_literal_conversion,string_from,short string,,,45532322.0,ns,4386459
str_literal_conversion,string_from,short string,,,47258795.0,ns,4472468
str_literal_conversion,string_from,short string,,,47046207.0,ns,4558477
str_literal_conversion,string_from,short string,,,47440649.0,ns,4644486
str_literal_conversion,string_from,short string,,,50350067.0,ns,4730495
str_literal_conversion,string_from,short string,,,48688641.0,ns,4816504
str_literal_conversion,string_from,short string,,,49358695.0,ns,4902513
str_literal_conversion,string_from,short string,,,49625291.0,ns,4988522
str_literal_conversion,string_from,short string,,,51837559.0,ns,5074531
str_literal_conversion,string_from,short string,,,56618212.0,ns,5160540
str_literal_conversion,string_from,short string,,,56821114.0,ns,5246549
str_literal_conversion,string_from,short string,,,70564539.0,ns,5332558
str_literal_conversion,string_from,short string,,,70522338.0,ns,5418567
str_literal_conversion,string_from,short string,,,55147909.0,ns,5504576
str_literal_conversion,string_from,short string,,,56577905.0,ns,5590585
str_literal_conversion,string_from,short string,,,59093694.0,ns,5676594
str_literal_conversion,string_from,short string,,,57915601.0,ns,5762603
str_literal_conversion,string_from,short string,,,66713084.0,ns,5848612
str_literal_conversion,string_from,short string,,,60471875.0,ns,5934621
str_literal_conversion,string_from,short string,,,67057192.0,ns,6020630
str_literal_conversion,string_from,short string,,,63073555.0,ns,6106639
str_literal_conversion,string_from,short string,,,62614659.0,ns,6192648
str_literal_conversion,string_from,short string,,,64022573.0,ns,6278657
str_literal_conversion,string_from,short string,,,64096675.0,ns,6364666
str_literal_conversion,string_from,short string,,,66456717.0,ns,6450675
str_literal_conversion,string_from,short string,,,67340908.0,ns,6536684
str_literal_conversion,string_from,short string,,,67618136.0,ns,6622693
str_literal_conversion,string_from,short string,,,67754271.0,ns,6708702
str_literal_conversion,string_from,short string,,,68931511.0,ns,6794711
str_literal_conversion,string_from,short string,,,69062374.0,ns,6880720
str_literal_conversion,string_from,short string,,,72234274.0,ns,6966729
str_literal_conversion,string_from,short string,,,73414835.0,ns,7052738
