group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
str_literal_conversion,to_owned,short string,,,1067379.0,ns,83993
str_literal_conversion,to_owned,short string,,,2002739.0,ns,167986
str_literal_conversion,to_owned,short string,,,3859842.0,ns,251979
str_literal_conversion,to_owned,short string,,,4433462.0,ns,335972
str_literal_conversion,to_owned,short string,,,7786030.0,ns,419965
str_literal_conversion,to_owned,short string,,,7006535.0,ns,503958
str_literal_conversion,to_owned,short string,,,8191135.0,ns,587951
str_literal_conversion,to_owned,short string,,,9506877.0,ns,671944
str_literal_conversion,to_owned,short string,,,10561058.0,ns,755937
str_literal_conversion,to_owned,short string,,,12154362.0,ns,839930
str_literal_conversion,to_owned,short string,,,12925920.0,ns,923923
str_literal_conversion,to_owned,short string,,,13931494.0,ns,1007916
str_literal_conversion,to_owned,short string,,,14877729.0,ns,1091909
str_literal_conversion,to_owned,short string,,,16458881.0,ns,1175902
str_literal_conversion,to_owned,short string,,,18241662.0,ns,1259895
str_literal_conversion,to_owned,short string,,,18298565.0,ns,1343888
str_literal_conversion,to_owned,short string,,,20133262.0,ns,1427881
str_literal_conversion,to_owned,short string,,,20552929.0,ns,1511874
str_literal_conversion,to_owned,short string,,,21824886.0,ns,1595867
str_literal_conversion,to_owned,short string,,,18017890.0,ns,1679860
str_literal_conversion,to_owned,short string,,,18299774.0,ns,1763853
str_literal_conversion,to_owned,short string,,,19870338.0,ns,1847846
str_literal_conversion,to_owned,short string,,,19956953.0,ns,1931839
str_literal_conversion,to_owned,short string,,,20220145.0,ns,2015832
str_literal_conversion,to_owned,short string,,,22261523.0,ns,2099825
str_literal_conversion,to_owned,short string,,,22234273.0,ns,2183818
str_literal_conversion,to_owned,short string,,,23164080.0,ns,2267811
str_literal_conversion,to_owned,short string,,,24579800.0,ns,2351804
str_literal_conversion,to_owned,short string,,,24537670.0,ns,2435797
str_literal_conversion,to_owned,short string,,,26096812.0,ns,2519790
str_literal_conversion,to_owned,short string,,,26757917.0,ns,2603783
str_literal_conversion,to_owned,short string,,,27207963.0,ns,2687776
str_literal_conversion,to_owned,short string,,,29423626.0,ns,2771769
str_literal_conversion,to_owned,short string,,,31707584.0,ns,2855762
str_literal_conversion,to_owned,short string,,,30424996.0,ns,2939755
str_literal_conversion,to_owned,short string,,,31853685.0,ns,3023748
str_literal_conversion,to_owned,short string,,,34966125.0,ns,3107741
str_literal_conversion,to_owned,short string,,,33312917.0,ns,3191734
str_literal_conversion,to_owned,short string,,,42147948.0,ns,3275727
str_literal_conversion,to_owned,short string,,,47145620.0,ns,3359720
str_literal_conversion,to_owned,short string,,,42939688.0,ns,3443713
str_literal_conversion,to_owned,short string,,,37123141.0,ns,3527706
str_literal_conversion,to_owned,short string,,,36262774.0,ns,3611699
str_literal_conversion,to_owned,short string,,,37818103.0,ns,3695692
str_literal_conversion,to_owned,short string,,,39496217.0,ns,3779685
str_literal_conversion,to_owned,short string,,,40298938.0,ns,3863678
str_literal_conversion,to_owned,short string,,,41281400.0,ns,3947671
str_literal_conversion,to_owned,short string,,,40139432.0,ns,4031664
str_literal_conversion,to_owned,short string,,,42162989.0,ns,4115657
str_literal_conversion,to_owned,short string,,,43108118.0,ns,4199650
str_literal_conversion,to_owned,short string,,,43206157.0,ns,4283643
str_literal_conversion,to_owned,short string,,,44308436.0,ns,4367636
str_literal_conversion,to_owned,short string,,,45116470.0,ns,4451629
str_literal_conversion,to_owned,short string,,,45741879.0,ns,4535622
str_literal_conversion,to_owned,short string,,,47202508.0,ns,4619615
str_literal_conversion,to_owned,short string,,,47883579.0,ns,4703608
str_literal_conversion,to_owned,short string,,,48335685.0,ns,4787601
str_literal_conversion,to_owned,short string,,,50702262.0,ns,4871594
str_literal_conversion,to_owned,short string,,,50074939.0,ns,4955587
str_literal_conversion,to_owned,short string,,,52520644.0,ns,5039580
str_literal_conversion,to_owned,short string,,,55457020.0,ns,5123573
str_literal_conversion,to_owned,short string,,,72012054.0,ns,5207566
str_literal_conversion,to_owned,short string,,,61191007.0,ns,5291559
str_literal_conversion,to_owned,short string,,,56492897.0,ns,5375552
str_literal_conversion,to_owned,short string,,,57429507.0,ns,5459545
str_literal_conversion,to_owned,short string,,,64003270.0,ns,5543538
str_literal_conversion,to_owned,short string,,,78460501.0,ns,5627531
str_literal_conversion,to_owned,short string,,,79679103.0,ns,5711524
str_literal_conversion,to_owned,short string,,,66861441.0,ns,5795517
str_literal_conversion,to_owned,short string,,,59615077.0,ns,5879510
str_literal_conversion,to_owned,short string,,,61141127.0,ns,5963503
str_literal_conversion,to_owned,short string,,,62496658.0,ns,6047496
